timestamp,wind_speed
1688835600,3.96
1688839200,0.0
1688842800,0.0
1688846400,0.0
1688850000,1.62
1688853600,3.6
1688857200,2.7
1688860800,1.62
1688864400,5.22
1688868000,6.3
1688871600,7.74
1688875200,5.4
1688878800,5.4
1688882400,5.22
1688886000,2.34
1688889600,4.68
1688893200,3.78
1688896800,3.78
1688900400,3.42
1688904000,2.7
1688907600,2.7
1688911200,4.14
1688914800,2.34
1688918400,5.22
1688922000,3.42
1688925600,0.54
1688929200,0.54
1688932800,1.98
1688936400,2.34
1688940000,1.44
1688943600,3.06
1688947200,3.42
1688950800,2.52
1688954400,3.42
1688958000,4.86
1688961600,3.24
1688965200,3.96
1688968800,0.9
1688972400,2.52
1688976000,5.94
1688979600,3.06
1688983200,3.24
1688986800,7.02
1688990400,4.5
1688994000,3.96
1688997600,9.36
1689001200,7.38
1689004800,7.02
1689008400,3.96
1689012000,0.18
1689015600,0.0
1689019200,0.18
1689022800,2.52
1689026400,0.36
1689030000,0.0
1689033600,4.14
1689037200,2.88
1689040800,6.12
1689044400,1.08
1689048000,2.34
1689051600,3.42
1689055200,1.44
1689058800,0.36
1689062400,2.16
1689066000,6.3
1689069600,0.72
1689073200,3.06
1689076800,3.06
1689080400,4.32
1689084000,5.94
1689087600,8.46
1689091200,3.42
1689094800,0.18
1689098400,0.0
1689102000,0.0
1689105600,1.26
1689109200,1.62
1689112800,2.34
1689116400,0.0
1689120000,0.54
1689123600,0.0
1689127200,3.24
1689130800,3.78
1689134400,3.6
1689138000,4.86
1689141600,3.6
1689145200,2.88
1689148800,3.78
1689152400,7.02
1689156000,8.28
1689159600,6.48
1689163200,6.66
1689166800,6.12
1689170400,8.46
1689174000,4.68
1689177600,4.5
1689181200,1.8
1689184800,0.0
1689188400,1.62
1689192000,0.0
1689195600,0.0
1689199200,0.9
1689202800,2.16
1689206400,8.82
1689210000,6.48
1689213600,4.68
1689217200,0.0
1689220800,0.0
1689224400,4.14
1689228000,1.08
1689231600,1.26
1689235200,1.62
1689238800,3.24
1689242400,15.84
1689246000,1.62
1689249600,3.96
1689253200,4.5
1689256800,7.92
1689260400,2.34
1689264000,0.54
1689267600,0.9
1689271200,0.0
1689274800,0.0
1689278400,0.36
1689282000,0.0
1689285600,3.24
1689289200,1.26
1689292800,1.8
1689296400,5.04
1689300000,3.96
1689303600,0.18
1689307200,3.24
1689310800,2.7
1689314400,0.0
1689318000,0.0
1689321600,4.32
1689325200,6.66
1689328800,6.12
1689332400,6.3
1689336000,6.66
1689339600,9.36
1689343200,8.64
1689346800,8.82
1689350400,7.92
1689354000,2.88
1689357600,0.36
1689361200,0.0
1689364800,0.0
1689368400,0.0
1689372000,0.0
1689375600,0.54
1689379200,0.0
1689382800,5.04
1689386400,0.0
1689390000,0.72
1689393600,0.9
1689397200,4.32
1689400800,0.36
1689404400,3.42
1689408000,6.66
1689411600,5.94
1689415200,2.88
1689418800,1.08
1689422400,4.5
1689426000,6.84
1689429600,9.36
1689433200,10.26
1689436800,6.84
1689440400,6.66
1689444000,1.62
1689447600,0.0
1689451200,0.0
1689454800,1.08
1689458400,1.08
1689462000,0.36
1689465600,0.0
1689469200,0.0
1689472800,0.0
1689476400,0.0
1689480000,0.0
1689483600,0.0
1689487200,0.0
1689490800,0.0
1689494400,0.0
1689498000,0.0
1689501600,0.0
1689505200,3.24
1689508800,1.8
1689512400,3.78
1689516000,9.18
1689519600,5.22
1689523200,6.66
1689526800,1.26
1689530400,1.62
1689534000,0.0
1689537600,0.0
1689541200,0.0
1689544800,0.9
1689548400,0.0
1689552000,0.0
1689555600,0.0
1689559200,0.72
1689562800,0.0
1689566400,0.0
1689570000,0.0
1689573600,1.62
1689577200,0.18
1689580800,2.34
1689584400,2.34
1689588000,4.14
1689591600,1.26
1689595200,1.08
1689598800,6.12
1689602400,4.86
1689606000,5.76
1689609600,1.26
1689613200,0.0
1689616800,0.36
1689620400,0.36
1689624000,5.04
1689627600,6.12
1689631200,1.08
1689634800,1.8
1689638400,3.96
1689642000,4.86
1689645600,1.8
1689649200,0.0
1689652800,3.78
1689656400,4.5
1689660000,5.04
1689663600,4.32
1689667200,1.62
1689670800,1.44
1689674400,2.88
1689678000,3.24
1689681600,2.16
1689685200,4.5
1689688800,3.24
1689692400,7.92
1689696000,3.78
1689699600,2.52
1689703200,3.06
1689706800,0.18
1689710400,0.18
1689714000,1.08
1689717600,1.8
1689721200,0.0
1689724800,0.0
1689728400,3.6
1689732000,2.16
1689735600,0.0
1689739200,0.0
1689742800,0.36
1689746400,2.52
1689750000,2.52
1689753600,3.24
1689757200,3.42
1689760800,2.7
1689764400,3.6
1689768000,5.4
1689771600,5.94
1689775200,9.18
1689778800,9.18
1689782400,9.0
1689786000,3.06
1689789600,1.8
1689793200,0.9
1689796800,1.62
1689800400,0.9
1689804000,3.6
1689807600,0.0
1689811200,0.0
1689814800,0.0
1689818400,0.0
1689822000,0.0
1689825600,0.0
1689829200,0.0
1689832800,0.0
1689836400,0.0
1689840000,0.0
1689843600,0.0
1689847200,0.0
1689850800,0.0
1689854400,0.0
1689858000,0.0
1689861600,0.0
1689865200,9.36
1689868800,6.66
1689872400,4.32
1689876000,0.18
1689879600,0.72
1689883200,1.08
1689886800,6.3
1689890400,9.18
1689894000,3.78
1689897600,6.12
1689901200,4.86
1689904800,3.24
1689908400,2.7
1689912000,1.44
1689915600,1.62
1689919200,3.6
1689922800,2.16
1689926400,1.98
1689930000,6.66
1689933600,5.94
1689937200,5.94
1689940800,7.56
1689944400,9.72
1689948000,9.72
1689951600,8.46
1689955200,6.48
1689958800,5.4
1689962400,0.0
1689966000,2.52
1689969600,0.0
1689973200,1.26
1689976800,0.0
1689980400,0.0
1689984000,2.34
1689987600,0.0
1689991200,0.0
1689994800,0.0
1689998400,0.54
1690002000,2.88
1690005600,1.26
1690009200,3.42
1690012800,4.5
1690016400,6.84
1690020000,6.66
1690023600,7.2
1690027200,8.64
1690030800,10.44
1690034400,5.22
1690038000,5.22
1690041600,0.9
1690045200,0.0
1690048800,0.0
1690052400,0.0
1690056000,0.18
1690059600,4.86
1690063200,2.7
