timestamp,air_temperature
1688583600,25.41
1688587200,24.805
1688590800,24.205
1688594400,23.85
1688598000,23.805
1688601600,23.19
1688605200,22.295
1688608800,20.74
1688612400,20.105
1688616000,18.88
1688619600,22.875
1688623200,25.995
1688626800,28.09
1688630400,29.255
1688634000,29.115
1688637600,29.15
1688641200,25.98
1688644800,24.635
1688648400,20.32
1688652000,21.935
1688655600,23.77
1688659200,25.76
1688662800,24.43
1688666400,22.625
1688670000,21.025
1688673600,20.405
1688677200,19.885
1688680800,19.515
1688684400,19.105
1688688000,18.67
1688691600,18.3
1688695200,17.9
1688698800,17.69
1688702400,18.1
1688706000,20.685
1688709600,23.635
1688713200,26.59
1688716800,27.83
1688720400,28.47
1688724000,29.01
1688727600,30.285
1688731200,31.165
1688734800,32.02
1688738400,31.86
1688742000,31.19
1688745600,30.72
1688749200,29.68
1688752800,26.48
1688756400,20.34
1688760000,18.355
1688763600,18.36
1688767200,18.565
1688770800,18.365
1688774400,18.385
1688778000,17.75
1688781600,17.61
1688785200,17.235
1688788800,17.515
1688792400,20.295
1688796000,23.25
1688799600,26.055
1688803200,26.46
1688806800,29.535
1688810400,30.495
1688814000,31.27
1688817600,31.6
1688821200,32.59
1688824800,32.725
1688828400,32.155
1688832000,31.49
1688835600,31.135
1688839200,27.925
1688842800,23.225
1688846400,20.66
1688850000,20.61
1688853600,21.06
1688857200,21.155
1688860800,20.66
1688864400,20.44
1688868000,20.375
1688871600,20.16
1688875200,20.595
1688878800,23.235
1688882400,26.015
1688886000,29.73
1688889600,31.35
1688893200,32.31
1688896800,33.24
1688900400,33.805
1688904000,34.885
1688907600,36.0
1688911200,35.92
1688914800,35.785
1688918400,34.935
1688922000,33.33
1688925600,30.08
1688929200,24.74
1688932800,24.705
1688936400,24.16
1688940000,23.465
1688943600,23.07
1688947200,22.605
1688950800,22.33
1688954400,21.995
1688958000,21.78
1688961600,22.145
1688965200,25.09
1688968800,27.95
1688972400,31.46
1688976000,32.795
1688979600,33.73
1688983200,34.64
1688986800,36.01
1688990400,36.19
1688994000,37.285
1688997600,36.89
1689001200,35.995
1689004800,35.32
1689008400,34.385
1689012000,31.37
1689015600,25.91
1689019200,25.075
1689022800,24.605
1689026400,22.585
1689030000,21.695
1689033600,22.25
1689037200,23.18
1689040800,23.645
1689044400,24.04
1689048000,22.8
1689051600,26.065
1689055200,28.96
1689058800,32.68
1689062400,35.475
1689066000,35.155
1689069600,36.175
1689073200,37.555
1689076800,38.01
1689080400,39.17
1689084000,39.155
1689087600,38.535
1689091200,37.69
1689094800,37.115
1689098400,32.215
1689102000,25.81
1689105600,24.49
1689109200,26.465
1689112800,27.675
1689116400,27.055
1689120000,25.92
1689123600,25.485
1689127200,23.49
1689130800,23.25
1689134400,27.13
1689138000,28.41
1689141600,30.725
1689145200,32.475
1689148800,33.47
1689152400,34.075
1689156000,33.845
1689159600,34.865
1689163200,35.54
1689166800,36.235
1689170400,36.42
1689174000,36.66
1689177600,36.505
1689181200,35.105
1689184800,31.565
1689188400,26.26
1689192000,24.94
1689195600,22.975
1689199200,22.715
1689202800,23.0
1689206400,27.275
1689210000,27.69
1689213600,27.115
1689217200,24.21
1689220800,22.535
1689224400,23.95
1689228000,26.915
1689231600,29.1
1689235200,29.635
1689238800,28.77
1689242400,22.415
1689246000,19.24
